"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept[1]",-3.31833489,0.349494734585685,-4.00862425,-2.65379025,1.00051584609446,2763.14185643084,4459.64266000047
"Intercept[2]",-0.7879611129946,0.325560875524718,-1.434423,-0.162439475,1.0005476794795,2690.63747262636,5028.63531882205
"Intercept[3]",1.36601323226,0.330502862270994,0.7275848,2.01374975,1.00084239116339,2716.55362136659,4270.40145697527
"Intercept[4]",3.789957129,0.362400753528388,3.095465,4.51301125,1.00033519300676,2886.64990370335,4817.43904037001
"Treatment [Categorize]",-0.11245478036278,0.434622826381254,-0.9403648,0.736663775,0.999783263082981,2213.05682464701,4171.07910520433
"Treatment [Draw]",1.51789239223,0.44026865190651,0.657692675,2.380997,1.00154706605242,2200.47064109468,3460.85101406402
"Article [Drug use disorder]",-0.12957772322888,0.164304301305967,-0.44976845,0.190210275,1.00011066734873,10056.5116908203,7242.87469685207
"Article [Synthetic opioids]",0.8344849503,0.168984616762999,0.50406215,1.16519425,1.00017049989843,9534.91301541578,7565.98731579272
"Topic involvement",0.8316744224,0.194504670094887,0.450895525,1.21573425,1.00084209737683,2594.41619829456,4493.34026234858
"Pre-Attitude",-0.11025049350868,0.195395895370418,-0.491868425,0.274309775,1.00097816129953,2406.74472748314,3876.16415733771
