"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept[1]",-5.4261473725,0.739129641312845,-7.06491425,-4.17534,1.00044948804927,5251.31041028765,4057.50672111719
"Intercept[2]",-3.8947073,0.400134720782928,-4.71782825,-3.15541725,1.0004332769983,7128.61753088087,5134.22584290161
"Intercept[3]",0.847873089125,0.217431295983331,0.44185005,1.28797275,1.00033784196872,7249.6546871652,6309.511997408
"Intercept[4]",4.11401843375,0.477014260569883,3.2641065,5.1268625,1.00069181484512,7551.13678371233,4746.19653212283
"Intercept[5]",5.95537540125,1.05738050643479,4.327594,8.46248549999999,1.00027773899276,9128.29420987255,5807.62728910817
"Treatment [Categorize]",0.231412332468275,0.302319609495966,-0.35423545,0.831710125,1.00012772617687,7728.53735043209,6003.13904092908
"Treatment [Draw]",-0.5650230293443,0.317825196578591,-1.18171575,0.0523183949999994,1.00015643706372,6591.94495281962,6154.63321257917
"Topic Involvement",-0.4545919790825,0.155642194797879,-0.763107,-0.158576225,1.00050549833813,8252.24423180246,5158.40493670636
"Article Interest",0.066411074231575,0.207908089112148,-0.343224175,0.46790525,1.00025716739068,6761.93625764444,5786.62853936141
"Article Recommend",0.059212686284,0.199761500317261,-0.33743145,0.44805315,1.00047100129686,6743.27903110987,6328.02375235183
"Article Surprise",0.448234050265,0.167088353398058,0.12781595,0.785844525,1.00032306359277,6544.86552247587,5585.51881721067
