"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept[1]",-5.323724403,0.459823862158136,-6.24028525,-4.4592005,1.00124248632087,3283.90960558612,5662.55223746761
"Intercept[2]",-2.0427092898,0.380088755374547,-2.80970275,-1.304042,1.00061761230611,2984.0827907593,5162.4888235843
"Intercept[3]",1.9710252979,0.376868816738817,1.2331865,2.706937,1.00095345285157,3092.50551562233,5554.94535399264
"Intercept[4]",5.551354413,0.456593992319629,4.6754595,6.4712755,1.00097891138079,3731.34189328979,6111.52394789903
"Treatment [Categorize]",0.5957588173317,0.505114065824518,-0.369111375,1.60108675,1.00103730347706,2214.86095098473,4434.21819908055
"Treatment [Draw]",-0.21879039351739,0.50672965123633,-1.21938425,0.7632248,1.00075259809207,2398.47902329091,4362.6553298238
"Article [Drug use disorder]",-1.192226082,0.192047137081757,-1.56593475,-0.815524725,0.999777378726395,14311.5649769055,8157.93397778939
"Article [Synthetic opioids]",0.85242833562,0.187541921072597,0.4825071,1.216756,1.00017594417419,16328.6073276285,8124.48369973324
"Topic involvement",2.323502778,0.256163695862608,1.833527,2.8362145,1.00074878466697,2755.33627226629,4912.41156067544
"Pre-Attitude",0.32435063018184,0.22794342289593,-0.1167267,0.772968825,1.00063858524368,2646.60591606189,4636.60920257561
