"","Estimate","Est.Error","Q2.5","Q97.5","predictor","question","study"
"1",-3.7856078475,0.385559786585973,-4.5722635,-3.06574425,"Intercept[1]","opinion","Study 1"
"2",0.65110251538875,0.207589365199086,0.2477689,1.06081775,"Intercept[2]","opinion","Study 1"
"3",3.08006524375,0.317893682336051,2.4835155,3.72776425,"Intercept[3]","opinion","Study 1"
"4",5.90063380375,1.04443389137583,4.27989325,8.3504335,"Intercept[4]","opinion","Study 1"
"5",0.172424570349912,0.288151350452422,-0.39459565,0.73550355,"treatmentCategorize","opinion","Study 1"
"6",-0.4459905969325,0.306094401027364,-1.03380325,0.14552225,"treatmentDraw","opinion","Study 1"
"7",-0.443986188246125,0.146552701690949,-0.7326915,-0.164376025,"scaletopic_involvement","opinion","Study 1"
"8",0.273401278754775,0.197731901695057,-0.116091275,0.66122665,"scalearticle_interest","opinion","Study 1"
"9",-0.19721049679021,0.191453515547981,-0.573587775,0.17897565,"scalearticle_recommend","opinion","Study 1"
"10",0.41876635907175,0.160127650209888,0.1098597,0.738725,"scalearticle_surprise","opinion","Study 1"
"11",-5.39639630875,0.749491313237378,-7.105044,-4.1633815,"Intercept[1]","combat","Study 1"
"12",-3.8814305425,0.400352843393496,-4.70694675,-3.16239275,"Intercept[2]","combat","Study 1"
"13",0.845915678575,0.209524367401579,0.44816025,1.25737525,"Intercept[3]","combat","Study 1"
"14",4.10894605125,0.463744897222743,3.26275475,5.09319675,"Intercept[4]","combat","Study 1"
"15",5.95249303,1.06556487079729,4.30312775,8.43759125,"Intercept[5]","combat","Study 1"
"16",0.227398995482375,0.299122923481024,-0.357360075,0.807585924999999,"treatmentCategorize","combat","Study 1"
"17",-0.566706296720413,0.309364668692968,-1.1733295,0.0282090124999992,"treatmentDraw","combat","Study 1"
"18",-0.45427329576375,0.150489536493044,-0.750470675,-0.156312925,"scaletopic_involvement","combat","Study 1"
"19",0.074368999326325,0.205804251506354,-0.32674745,0.486552025,"scalearticle_interest","combat","Study 1"
"20",0.0540046588608375,0.202148793984533,-0.3406698,0.452173275,"scalearticle_recommend","combat","Study 1"
"21",0.442920962773125,0.161923934903878,0.122748775,0.7704869,"scalearticle_surprise","combat","Study 1"
"22",-6.33346909625,1.0788129521895,-8.836885,-4.61924825,"Intercept[1]","legalize","Study 1"
"23",-4.93156513625,0.592100390274932,-6.229856,-3.89020925,"Intercept[2]","legalize","Study 1"
"24",-3.3900105175,0.338867194334863,-4.0694775,-2.7525075,"Intercept[3]","legalize","Study 1"
"25",-1.755823850125,0.247139420883421,-2.25076875,-1.2783995,"Intercept[4]","legalize","Study 1"
"26",2.65381132375,0.29540693708416,2.093694,3.26327325,"Intercept[5]","legalize","Study 1"
"27",4.44126386375,0.578432978081472,3.43738575,5.708871,"Intercept[6]","legalize","Study 1"
"28",5.847232635,1.07055821613188,4.1698005,8.32119974999999,"Intercept[7]","legalize","Study 1"
"29",-0.6332982993185,0.322917323369264,-1.268686,-0.0110904320000005,"treatmentCategorize","legalize","Study 1"
"30",-0.119688033836375,0.329735019198274,-0.76855995,0.521056025,"treatmentDraw","legalize","Study 1"
"31",0.1521710246409,0.154855886044315,-0.153549475,0.4571556,"scaletopic_involvement","legalize","Study 1"
"32",0.229563205911463,0.213698351507352,-0.186377925,0.65819015,"scalearticle_interest","legalize","Study 1"
"33",-0.53344855589525,0.212025161740102,-0.955987225,-0.12171625,"scalearticle_recommend","legalize","Study 1"
"34",-0.156717103668787,0.163382768203305,-0.47762455,0.163358475,"scalearticle_surprise","legalize","Study 1"
