"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept[1]",-5.79517236125,1.01279203448133,-8.18494975,-4.197603,1.00081994907796,5150.06414276286,4284.60492552535
"Intercept[2]",-3.4438417,0.37756499146936,-4.22246075,-2.725344,1.00035097856619,8406.027211672,5528.96659769226
"Intercept[3]",0.913953378375,0.216041375513743,0.500903375,1.3389455,1.00038840006166,7265.82825189609,6324.25405889385
"Intercept[4]",3.534020435,0.373945621127164,2.83406325,4.290871,1.00060076093844,8281.18222046315,6072.12576500238
"Treatment [Categorize]",0.098645804169875,0.305750412073879,-0.504803725,0.6926138,1.00004012126194,7711.36751977599,5616.42109770086
"Treatment [Draw]",0.16205196300325,0.309162110913733,-0.440519525,0.7646621,1.00042950386134,7981.64530949771,5782.49534543467
"Topic Involvement",-0.37133700817575,0.162292720143177,-0.692933325,-0.0554347675,1.00083091171275,8352.81776546579,5627.13427877322
"Article Interest",-0.0488409986531625,0.215329928513211,-0.4765396,0.36048845,1.00002407936954,6624.83215717741,5740.06407710285
"Article Recommend",0.162651909967083,0.210293460331876,-0.250531275,0.569560425,1.00002829868751,6616.95373216741,6067.95575996313
"Article Surprise",0.346231887446875,0.147205433889438,0.0635168450000001,0.637123225,1.0003334080123,7806.8120226186,6019.56448269431
