"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept[1]",-6.33346909625,1.0788129521895,-8.836885,-4.61924825,1.00051408558334,4917.61570349154,4213.40015448204
"Intercept[2]",-4.93156513625,0.592100390274932,-6.229856,-3.89020925,1.00019891325487,7882.36113365835,6049.18905747383
"Intercept[3]",-3.3900105175,0.338867194334863,-4.0694775,-2.7525075,1.00147101335972,7533.41275270419,6127.54381619345
"Intercept[4]",-1.755823850125,0.247139420883421,-2.25076875,-1.2783995,1.00045092771596,6785.4498666424,6022.10791861512
"Intercept[5]",2.65381132375,0.29540693708416,2.093694,3.26327325,1.00015100274102,8465.34834123166,6537.12650733154
"Intercept[6]",4.44126386375,0.578432978081472,3.43738575,5.708871,1.00032423126202,9094.57380136745,5740.70480971284
"Intercept[7]",5.847232635,1.07055821613188,4.1698005,8.32119974999999,0.999949242329432,8775.96529754342,5817.03633249806
"Treatment [Categorize]",-0.6332982993185,0.322917323369264,-1.268686,-0.0110904320000005,1.00018812760693,7752.56242752379,6395.58537048763
"Treatment [Draw]",-0.119688033836375,0.329735019198274,-0.76855995,0.521056025,1.00073182909535,7525.72998353057,6220.56922909557
"Topic Involvement",0.1521710246409,0.154855886044315,-0.153549475,0.4571556,0.999973661885717,9383.48274347233,5852.73454074709
"Article Interest",0.229563205911463,0.213698351507352,-0.186377925,0.65819015,1.00042013098911,6560.56385152558,6148.09771410999
"Article Recommend",-0.53344855589525,0.212025161740102,-0.955987225,-0.12171625,1.00074700998137,6519.14568953988,5782.85720236209
"Article Surprise",-0.156717103668787,0.163382768203305,-0.47762455,0.163358475,1.00050127453444,9336.15935388589,5460.50202220798
